id,name,cas_no,synonyms_iupac
DCZ404,DescyanoDiclazurilKetone(ImpurityD),133648-81-4,"2-[3,5-Dichloro-4-(4-chlorobenzoyl)phenyl]-1,2,4-triazine-3,5(2H,4H)-dione Page24"
DCZ405,DescyanoDiclazurilKetone(ImpurityF),133648-80-3,"2-[3,5-Dichloro-4-[(4-chlorophenyl)methyl]phenyl]-1,2,4-triazine- DiclofenacSodium"
DCL100,DiclofenacSodium,15307-79-6,"AceclofenacEPImpurityA; Sodium2-[(2,6-dichlorophenyl)amino]phenyl]acetate"
DCL201,DiclofenacEPImpurityA,15362-40-0,Diclofenac USP Related Compound A ;AceclofenacEPImpurityI;DiclofenacAmide
DCL202,DiclofenacEPImpurityB,22121-58-0,"2-[(2,6-Dichlorophenyl)amino]benzaldehyde"
DCL203,DiclofenacEPImpurityC,27204-57-5,"[2-[(2,6-Dichlorophenyl)amino]phenyl]methanol"
DCL204,DiclofenacEPImpurityD,127792-45-4,2-[2-[(2-Bromo-6-chlorophenyl)amino]phenyl]acetic acid
DCL205,DiclofenacEPImpurityE,59-48-3,"1,3-Dihydro-2H-indol-2-one"
DCL206,DiclofenacEPImpurityF,560075-65-2,"N-(4-chlorophenyl)-2-(2,6-dichlorophenyl)acetamide Diltiazem"
DLT100,DiltiazemHCl,42399-41-7,"(2S,3S)-5-[2-(Dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo- 2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate hydrochloride"
DLT202,DiltiazemEPImpurityB,87447-47-0,"(2S,3S)-2-(4-Methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro- 1,5-benzothiazepin-3-ylacetate"
DLT205,DiltiazemEPImpurityE,42399-49-5,"(2S,3S)-3-Hydroxy-2-(4-methoxyphenyl)-2,3- dihydro-1,5-benzothiazepin-4(5H)-one"
DLT206,DiltiazemEPImpurityF,99-40-6,"/23515-45-9/75472-9 DesacetylDiltiazem,"
DBS100,DobesilateMonohydrate,117552-78-0,DobesilateMonohydrate
DBS401,DBS100 117552-78-0 DobesilateMonohydrate,123-31-9,DobesilateImpurityA DonepezilHydrochloride Page25
DNP100,DonepezilHydrochloride,120011-70-3,"(±)-2-[(1-Benzyl-4-piperidyl)methyl]-5,6-dimethoxy-1-indanonehydrochloride"
DNP201,DonepezilEPImpurityA,120014-30-4,"Donepezil Desbenzyl Impurity;5,6-Dimethoxy-2-(piperidin-4-ylmethyl) indan-1-one"
DNP202,DonepezilEPImpurityB,2107-69-9,"5,6-dimethoxy-2,3-dihydro-1H-inden-1-one"
DNP204,DonepezilEPImpurityD,4803-57-0,"DonepezilPyridine Impurity;5,6-Dimethoxy-2-(pyridin-4-ylmethyl)indan-1-one"
DNP206,DonepezilEPImpurityF,145546-80-1,"DonepezilRelatedCompoundA,DonepezilDehydroImpurity;(E)-DehydroDonepezil;(E)-2- [(1-Benzylpiperidin-4-yl)methylene]-5,6-dimethoxyindan-1-one"
DNP401,DonepezilBenzylBromide,844694-85-5,"DonepezilBenzylBromide ;1,1-Dibenzyl-4-[(5,6-dimethoxy-1-oxoindan-2-yl)methyl]piperidiniumbromide"
DNP402,DonepezilN-Oxide,120013-84-5,"(RS)-2-[(1-Benzyl-4-piperidyl)methyl]-5,6-dimethoxy-1-indanoneN-Oxide"
DNP403,Donepezilhydroxyimpurity,197010-20-1,"2,3-Dihydro-2-[hydroxy[1-(phenylmethyl)-4-piperidinyl]methyl]-5,6-dimethoxy-1H-inden-1-one Dorzolamide"
DRZ100,Dorzolamide,130693-82-2,"(4S,6S)-4-(Ethylamino)-6-methyl-5,6-dihydro-4H-thieno[2,3-b]thiopyran-2-sulfonamide 7,7- dioxidehydrochloride"
DRZ202,DORZOLAMIDEIMPURITYB,120279-37-0,"DorzolamideRelatedCompoundB,(4RS,6SR)-4-(Ethylamino)-6-methyl-5,6-dihydro-4H -thieno[2,3-b]thiopyran-2-sulfonamide7,7-dioxideHcl DoxazosinMesylate"
DXZ100,DoxazosinMesylate,77883-43-3,"/74191-85-8 1-(4-Amino-6,7-dimethoxyquinazolin-2-yl)-4-[(2RS)-2,3-dihydro -1,4-benzodioxin-2-ylcarbonyl]piperazine methanesulphonate DuloxetineHydrochloride"
DLX100,DuloxetineHydrochloride,136434-34-9,(S)-N-Methyl-γ-(1-naphthalenyloxy)-2-thiophenepropanamineHydrochloride
DLX202,DuloxetineEPImpurityB,116539-55-0,Duloxetinealcohol(USP);(1S)-3-(Methylamino)-1-(thiophen-2-yl)propan-1-ol
DLX204,DuloxetineEPImpurityD,90-15-3,α-Napthol(USP);Naphthalen-1-ol Page26 Elagolixsodium
ELG100,Elagolixsodium,834153-87-6,"4-[[(1R)-2-[5-(2-Fluoro-3-methoxyphenyl)-3-[[2-fluoro-6-(trifluoromethyl)phenyl]methyl]-3,6-dihydro-4- methyl-2,6-dioxo-1(2H)-pyrimidinyl]-1-phenylethyl]amino]butanoicacid"
ELG501,ElagolixImpurity1,133116-83-3,2-Fluoro-6-(trifluoromethyl)benzonitrile
ELG502,ElagolixImpurity2,239087-06-0,2-Fluoro-6-(trifluoromethyl)benzylamine Emtricitabine
EMT100,Emtricitabine,143491-57-0,"4-Amino-5-fluoro-1-[(2R,5S)-2-hydroxymethyl)-1,3-oxathiolan-5-yl]-2-(1H-pyrimidinone"
EMT501,Emtricitabineimpuirty1,147126-75-8,"5-(4-Amino-5-fluoro-2-oxo-1(2H)-pyrimidinyl)-1,3-oxathiolane-2-carboxylic acid5-methyl-2-(1-methylethyl)cyclohexylester Enalapril"
ENL100,EnalapriliMaleate,76095-16-4,((S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl)-L-alanyl-L-proline
ENL501,EnalaprilAlanyl Proline,13485-59-1,EnalaprilDipeptideImpurity;L-Alanyl-L-proline
ENL502,EnalaprilImpurity1,501-52-0,"Phenylpropanoicacid,Benzenepropionicacid,3-Phenyl-n-propionicacid Eprosartan"
EPR100,Eprosartan,133040-01-4,(E)-3-[2-Butyl-1-[(4-carboxyphenyl)methyl]-imidazol-5-yl]-2-(2-thienylmethyl)-2-propenoicacid EPR501 Eprosartanimpurity1
ERY100,Erythromycin,114-07-8,Erythromycin
ESK100,EsketamineHydrochloride,33643-47-9,(2S)-2-(2-Chlorophenyl)-2-(methylamino)cyclohexanonehydrochloride Page27
ESK201,EsketamineEPImpurityA,6740-87-0,1-[(2-chlorophenyl)(methylimino)methyl]cyclopentanol
ESK202,EsketamineEPImpurityB,1823362-29-3,(2RS)-2-(2-chlorophenyl)-2-hydroxycyclohexanone
ESK203,EsketamineEPImpurityC,90717-17-2,(2-chlorophenyl)(1-hydroxycyclopentyl)methanone
ESK401,ESKETAMINEIMPURITYAHCLSALT,90717-16-1,ESKETAMINEIMPURITYAHCL SALT Esomeprazole
ESM100,Esomeprazole,119141-88-7,"5-Methoxy-2-((S)-((4-methoxy-3,5-dimethyl-2-pyridinyl)methyl)sulfinyl)-1H-benzimidazole"
ESM201,EsomeprazoleEPImpurityA,37052-78-1,OmeprazoleEP ImpurityA;5-Methoxy-1H-benzimidazole-2-thiol
ESM203,EsomeprazoleEPImpurityC,73590-85-9,"Omeprazole EP Impurity C ;5-methoxy-2-[[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfanyl]-1H- benzimidazole(ufiprazole)"
ESM204,EsomeprazoleEPImpurityD,88546-55-8,EsomeprazoleUSP RelatedCompoundA;EsomeprazoleUSPRCA;OmeprazoleSulfone
ESM205,EsomeprazoleEPImpurityE,176219-04-8,OmeprazoleEP ImpurityE;OmeprazoleN-Oxide;OmeprazoleUSP RelatedCompoundE Estradiol
EST100,Estradiol,50-28-2,"(8R,9S,13S,14S,17S)-13-methyl-7,8,9,11,12,13,14,15,16,17 -decahydro-6H-cyclopenta[a]phenanthrene-3,17-diol"
EST302,EstradiolRelatedCompoundB,7291-41-0,"6,7-DehydroEstradiol Ethacrynic Acid"
ETH100,Ethacrynic Acid,58-54-8,"2-[2,3-Dichloro-4-(2-methylene-1-oxobutyl)phenoxy]aceticAcid"
ETH201,EthacrynicAcidimpurityA,1217-67-0,"4-Butanoyl-2,3-dichlorophenoxyaceticacid"
ETH401,"EthacrynicAcidImpurity4,EthacrynicAcidImpurityE",55507-91-0,"[2,3-dichloro-4-(2-methylacryloyl)phenoxy]aceticacid"
ETH402,EthacrynicAcid Epoxide,27223-10-5,"2-(2,3-Dichloro-4-(2-ethyloxirane-2-carbonyl)phenoxy)aceticacid Page28 Etoricoxib"
ETR100,Etoricoxib,202409-33-4,"5-chloro-6'-methyl-3-(4-(methylsulfonyl)phenyl)-2,3'-bipyridine"
ETR301,EtoricoxibUSPRelatedCompoundA,10297-73-1,4-(Methylsulfonyl)acetophenone;1-[4-(Methylsulfonyl)phenyl]ethanone
ETR302,EtoricoxibUSPRelatedCompoundB,90536-66-6,2-(4-(methylsulfonyl)phenyl)aceticacid
ETR401,EtoricoxibImpurityC,249561-98-6,N-(2-Chloro-3-(dimethylamino)allylidene)-N-methylmethanaminiumhexafluorophosphate(V)
ETR402,EtoricoxibImpurityD,221615-75-4,1-(6-methylpyridin-3-yl)-2-(4-(methylsulfonyl)phenyl)ethan-1-one
ETR403,EtoricoxibImpurity-F,325855-74-1,"EtoricoxibN1’-Oxide 5-Chloro-6'-methyl-3-[4-(methylsulfonyl)phenyl]-2,3'-bipyridine1'-Oxide"
ETR404,EtoricoxibCDPTHsalt,NA,"2-chloro-1, 3-bis(piperidyl) trimethiniumhexafluorophosphate Febuxostat"
FBX100,Febuxostat,144060-53-7,2-[3-Cyano-4-(2-methylpropoxy)phenyl]-4-methylthiazole-5-carboxylicacid
FBX401,FebuxostatAmideImpurity,1239233-86-3,2-(3-Carbamoyl-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylicacid
FBX402,FebuxostatDicarboxylicAcid Impurity,1239233-87-4,2-[3-Carboxy-4-(2-methylpropoxy)phenyl]-4-methyl-5-thiazolecarboxylicacid
FBX403,FebuxostatEthyl Ester,160844-75-7,Ethyl2-(3-cyano-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylate
FBX404,FebuxostatIsopropylEster,1346238-10-5,Isopropyl2-(3-cyano-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylate
FBX405,FebuxostatMethylEster,923942-34-1,Methyl2-(3-cyano-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylate
FBX406,FebuxostatImpurity2,161798-03-4,ethyl2-(3-formyl-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylate
FBX407,FebuxostatImpurity8,144060-62-8,2-(3-formyl-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylicacid
FBX408,FebuxostatButylEsterImpurity,1619982-02-3,butyl2-(3-cyano-4-isobutoxyphenyl)-4-methylthiazole-5-carboxylate
FBX409,Page29,2476465-11-7,3-Descyano-3-ethoxycarbonylFebuxostat Felbamate FLB100 Felbamate 25451-15-4
FLB301,FelbamateRelatedCompoundA,25451-53-0,3-hydroxy-2-phenylpropylcarbamate
FLB302,FelbamateRelatedCompoundB,6326-19-8,phenethylcarbamate
FLB401,FelbamateDimer,1796927-91-7,
FLB402,"(carbonylbis(oxy))bis(2-phenylpropane-3,1-diyl)dicarbamate",1570-95-2,"2-Phenyl-1,3-propanediol"
FLB403,4-HyrdroxyFelbamate,109482-28-2,"2-(4-Hydroxyphenyl)-1,3-propanediylDicarbamate"
FND201,FenbendazoleimpurityA,10605-21-7,"Methyl1H-benzimidazol-2-ylcarbamate,FenbendazoleRelatedCompoundA Fenbendazole FND100 Fenbendazole Fenofibrate"
FNB100,Fenofibrate,49562-28-9,Isopropyl2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate
FNB201,FenofibrateEPImpurityA,42019-78-3,FenofibrateUSP RelatedCompoundA;(4-Chlorophenyl)(4-hydroxyphenyl)methanone
FNB202,FenofibrateEPImpurityB,42017-89-0,Fenofibrate USPRelated CompoundB ;Fenofibric Acid ;2- [4-(4-Chlorobenzoyl)phenoxy]-2-methylpropanoic acid
FNB206,FenofibrateEPImpurityF,154356-96-4,(4-Chlorophenyl)[4-(1-methylethoxy)phenyl]methanone Page30
FNB207,FenofibrateEPImpurityG,217636-48-1,FenofibrateUSP RelatedCompoundC; 1-Methylethyl2-[[2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoyl]oxy]-2-methylpropanoate Fenticonazole
FNT100,FenticonazoleNitrate,73151-29-8,"1-(2-(2,4-dichlorophenyl)-2-((4-(phenylthio)benzyl)oxy)ethyl)-1H-imidazolenitrate"
FNT201,FenticonazoleNitrateEPImpurityA,24155-42-8,"1-(2,4-dichlorophenyl)-2-(1H-imidazol-1-yl)ethan-1-ol"
FNT202,FenticonazoleNitrateEPImpurityB,80639-95-8,"1-(2-(2,4-dichlorophenyl)-2-((4-(phenylsulfinyl)benzyl)oxy)ethyl) -1H-imidazolenitrate"
FNT203,FenticonazoleNitrateEPImpurityC,80676-29-5,"1-(2-(2,4-dichlorophenyl)-2-((4-(phenylsulfonyl)benzyl)oxy)ethyl)-1H-imidazole"
FNT204,FenticonazoleNitrateEPImpurityD,1313397-05-5,"3-(2-(2,4-dichlorophenyl)-2-hydroxyethyl)-1-(4-(phenylthio)benzyl)-1H-imidazol-3-iumnitrate"
FNT205,FenticonazoleNitrateEPImpurityE,756429-44-4,"3-(2-(2,4-dichlorophenyl)-2-((4-(phenylthio)benzyl)oxy)ethyl)-1-(4- (phenylthio)benzyl)-1H-imidazol-3-iumHydrochloride"
FNT501,4-phenylthiobenzyl chloride,1208-87-3,(4-(chloromethyl)phenyl)(phenyl)sulfane Fexofenadine
FXN100,Fexofenadine,83799-24-0,(R)-2-(4-(1-hydroxy-4-(4-(hydroxydiphenylmethyl)piperidin-1-yl)butyl)phenyl)-2-methylpropanoicacid
FXN201,FexofenadineEPImpurityA,76811-98-8,FexofenadineUSPrelatedcompoundA
FXN203,FexofenadineEPImpurityC,185066-37-9,Decarboxylateddegradant
FXN205,FexofenadineEPImpurityE,115-46-8,diphenyl(piperidin-4-yl)methanol
FXN401,FexofenadineImpurity1,154477-54-0,methyl2-(4-(4-chlorobutanoyl)phenyl)-2-methylpropanoate Flecainide
FLC100,Flecainideacetate,54143-56-5,"N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamideacetate"
FLC202,FlecainideEPImpurityB,22990-77-8,(RS)-(piperidin-2-yl)methanamine Page31 Fluoxetine
FLX100,Fluoxetine HCl,56296-78-7,N-Methyl-γ-[4-(trifluoromethyl)phenoxy]benzenepropanamineHydrochloride
FLX201,FluoxetineEPImpurityA,42142-52-9,"α-[2-(Methylamino)ethyl]benzyl Alcohol, 3-(methylamino)-1-phenylpropan-1-ol"
FLX202,FluoxetineEPImpurityB,23580-89-4,/30684-07-2 FluoxetineUSP RelatedCompoundB
FLX203,FluoxetineEPImpurityC,56161-72-9,N-Methyl-3-phenyl-3-(3-(trifluoromethyl)phenoxy)propan-1-amine
FLX301,FluoxetineRelatedCompoundA,79088-29-2,"N-Methyl-γ-[3-(trifluoromethyl)phenoxy]benzenepropanamineHydrochloride;N-Methyl-3-phenyl-3-[(α,α,α- trifluoro-m-tolyl)oxy]propylamineHydrochloride Fosfomycin"
FSM100,FosfomycinTromethamine,78964-85-9,"2-amino-2-(hydroxymethyl)propane-1,3-diol((2R,3S)-3-methyloxiran-2-yl)phosphonate"
FSM201,FosfomycinTrometamolEPImpurityA,84954-80-3,"1,2-dihydroxypropyl)phosphonic acid"
FSM203,FosfomycinTrometamolEPImpurityC,23001-39-0,2-amino-3-hydroxy-2-(hydroxymethyl)propyldihydrogen phosphate Gabapentin
GBP100,Gabapentin,60142-96-3,1-(Aminomethyl)cyclohexaneaceticacid
GBP201,GabapentinEPImpurityA,64744-50-9,"Gabapentin USP Related Compound A ;Gabapentin Lactam ; 3-Azaspiro-[4,5]decan-3-one"
GBP202,GabapentinEPImpurityB,133481-09-1,GabapentinUSPRelatedCompoundB;(1-Cyanocyclohexyl)aceticacid
GBP205,GabapentinEPImpurityE,67950-95-2,GabapentinUSP RelatedCompoundE; GabapentinDiacid;1-(carboxymethyl)cyclohexanecarboxylicacid Gliclazide
GLC100,Gliclazide,21187-98-4,1-(Hexahydrocyclopenta[c]pyrrol-2(1H)-yl)-3-[(4-methylphenyl)sulfonyl]urea
GLC201,GliclazideEPImpurityA,70-55-3,GliclazideBPImpurityA;4-Methylbenzenesulfonamide Page32
GLC202,GliclazideEPImpurityB,54786-86-6,GliclazideBPImpurityB;2-Nitroso-octahydrocyclopenta[c]pyrrole
GLC203,GliclazideEPImpurityC,5577-13-9,GliclazideBPImpurityC;Ethyl[(4-methylphenyl)sulfonyl]-carbamate
GLC204,GliclazideEPImpurityD,1136426-19-1,Gliclazide BP Impurity D ; N-[(4- Methylphenyl)sulfonyl]hexahydrocyclopenta[c]pyrrol-2(1H)-carboxamide
GLC401,GliclazideImpurity1,58108-05-7,hexahydrocyclopenta[c]pyrrol-2(1H)-aminehydrochloride Glimepiride
GLM100,Glimepiride,93479-97-1,1-[[p-[2-(3-Ethyl-4-methyl-2-oxo-3-pyrroline-1- carboxamido)ethyl]phenyl]sulfonyl]-3-(trans-4- methylcyclohexyl)urea
GLM202,GlimepirideEPImpurityB,119018-29-0,USPGlimepirideRelatedCompound B;GlimepirideSulfonamide
GLM203,GlimepirideEPImpurityC,119018-30-3,"GlimepirideEster,GLIMEPIRIDERELATEDCOMPOUNDC"
GLM401,Sulfonyl-N-ethylcarbamicethylester,NA,"Ethyl ethyl((4-(2-(3-ethyl-4-methyl-2-oxo-2,5-dihydro-1H-pyrrole-1-carboxamido) ethyl)phenyl)sulfonyl)carbamate PhenylethylImpurity GLM401-AI 247098-18-6 3-Ethyl-4-methyl-2-oxo-N-phenethyl-2,5-dihydro-1H-pyrrole-1-carboxamide PhenylethylImpuriysulphonylchloride GLM401-AII 119043-16-2 4-[2-(3-Ethyl-4-methyl-2-carbonylpyrrolidine amido)ethyl]benzene sulfonyl chloride"
GLM402,Sulfonyl-N-ethylglimepiride,NA,3-ethyl-N-[2-[4-[[ethyl[(trans-4-methylcyclohexyl)amino]carbonyl]amino]sulfonylphenyl]ethyl] Glipizide
GLP100,Glipizide,9094-61-9,N-[2-[4[[[(Cyclohexylamino)carbonyl]amino]sulfonyl]phenyl]ethyl]- 5-methylpyrazinecarboxamide
GLP201,GlipizideEPImpurityA,33288-71-0,GlipizideRelatedCompoundA; [2-(4-Sulphamoylphenyl) ethyl] 5-methyl-pyrazine-2-carboxamide
GLP202,GlipizideEPImpurityB,108-91-8,cyclohexanamine Page33
GLP207,GlipizideEPImpurityG,33288-74-3,methyl((4-(2-(5-methylpyrazine-2-carboxamido)ethyl)phenyl)sulfonyl)carbamate Guaifenesin
GFN100,Guaifenesin,93-14-1,"RanolazineRelatedCompound 2 ;3-(2-methoxyphenoxy)propane-1,2-diol"
GFN201,GuaifenesinEPImpurityA,90-05-1,2-methoxyphenol
GFN203,GuaifenesinEPimpurityC,1797132-23-0,"1,7-Di(2-methoxyphenoxy)-2,6-dihydroxy-4-oxaheptane;3,3'-Oxybis(1-(2-methoxyphenoxy)propan-2-ol)"
GFN204,GuaifenesinEPImpurityD,16929-60-5,"Dianisylglycerol ;1,3-bis(2-methoxyphenoxy)propan-2-ol"
GFN401,GuaifenesinImpurity1,2210-74-4,2-((2-methoxyphenoxy)methyl)oxirane Guanine
GNN100,Guanine,73-40-5,2-amino-9H-purin-6(1H)-one Haloperidol
HLP100,Haloperidol,52-86-8,4-(4-(4-Chlorophenyl)-4-hydroxy-1-piperidinyl)-1-(4-fluorophenyl)-1-butanone
HLP201,HaloperidolEPImpurityA,3109-12-4,1-(4-fluorophenyl)-4-(4-hydroxy-4-phenylpiperidin-1-yl)butan-1-one;Dechlorohaloperidol
HLP202,HaloperidolEPImpurityB,1391052-53-1,HaloperidolRelatedCompoundB
HLP204,HaloperidolEPImpurityD,67987-08-0,HaloperidolUSPRelatedCompoundA
HLP208,HaloperidolEPImpurityH,148406-51-3,Haloperidol N-Oxide
HLP401,HaloperidolImpurity8,3874-54-2,Chloro-fluoro-butyrophenone ; 4-chloro-1-(4-fluorophenyl)butan-1-one; 3-(4-Fluorophenylcarbonyl)-1- chloropropane
HLP402,HaloperidolImpurity9,39512-49-7,4-(4-chlorophenyl)-4-hydroxypiperidine; Chlorophenyl hydroxypiperidine
HLP403,trans-HaloperidolN-Oxide,150214-93-0,4-[trans-4-(4-Chlorophenyl)-4-hydroxy-1-oxido-1-piperidinyl]-1-(4-fluorophenyl)-1-butanone
HLP404,cis-HaloperidolN-Oxide,150214-94-1,4-[cis-4-(4-Chlorophenyl)-4-hydroxy-1-oxido-1-piperidinyl]-1-(4-fluorophenyl)-1-butanone Page34 Hydralazine
HYR401,HydralazineImpurity-A,253-52-1,Phthalazine Hydrochlorothiazide
HYD100,Hydrochlorothiazide,58-93-5,"6-Chloro-3,4-dihydro-2H-1,2,4-benzothiadiazine-7-sulfonamide HydrochlorothiazideEPImpurityA HYD201 DATE 3,4-DehydroHydrochlorothiazide;Chlorothiazide"
HYD202,HydrochlorothiazideEPImpurityB,121-30-2,HydrochlorothiazideUSPRelatedCompoundA
HYX100,HydroxychloroquineSulfate,747-36-4,2-[[4-[(7-Chloro-4-quinolinyl)amino]pentyl]ethylamino]ethanolSulfate
HYX207,HydroxychloroquineEPImpurityG,86-98-6,"4,7-Dichlrorquinoline Ibuprofen"
IBP100,Ibuprofen,15687-27-1,(2RS)-2-(4-isobutylphenyl)propanoicacid
IBP202,IbuprofenEPImpurityB,3585-49-7,(2RS)-2-(4-butylphenyl)propanoicacid
IBP205,IbuprofenEPImpurityE,38861-78-8,IbuprofenUSP RelatedCompoundC; 1-(4-isobutylphenyl)ethan-1-one;1-[4-(2-methylpropyl)phenyl]ethanone
IBP401,IbuprofenEthylEster,41283-72-1,2-(4-Isobutylphenyl)propionicacidethylester
IBP210,IbuprofenEPImpurityJ,65813-55-0,IbuprofenEPImpurityJ;(2RS)-2-(4-Isobutyrylphenyl)propanoicacid Iguratimod Iguratimod IGR100 123663-49-0 N-(7-(Methylsulfonamido)-4-oxo-6-phenoxy-4H-chromen-3-yl)formamide Iopamidol
IPM201,IopamidolimpuirtyA,60166-98-5,"5-amino-N,N'-bis[2-hydroxy-1-(hydroxymethyl)ethyl]-2,4,6-triiodobenzene-1,3-dicarboxamide,"
IPM202,IopamidolimpuirtyB,77868-41-8,"5-[(hydroxyacetyl)amino]-N,N'-bis[2-hydroxy-1-(hydroxymethyl)ethyl]-2,4,6-triiodobenzene-1,3- dicarboxamide, IopamidolimpuirtyC IPM203 5-(acetylamino)-N,N'-bis[2-hydroxy-1-(hydroxymethyl)ethyl]-2,4,6-triiodobenzene-1,3-dicarboxamide Page35"
IPM303,IOPAMIDOLRELATEDCOMPOUNDC,NA,"4-Chloro-N1,N3-bis(1,3-dihydroxypropan-2-yl)-5-(S)-lactamido-2,6-diiodoisophthalamide. Irbesartan"
IRB100,Irbesartan,138402-11-6,"2-Butyl-3-[p-(o-1H-tetrazol-5-ylphenyl)benzyl]-1,3-diazaspiro[4.4]non-1-en-4-one"
IRB201,IrbesartanEPImpurityA,748812-53-5,IrbesartanUSP RelatedCompoundA
IRB401,IrbesartanLactamImpurity,151257-01-1,"2-Butyl-1,3-diazaspiro[4.4]non-1-en-4-oneHydrochloride"
IRB402,IrbesartanBromoNitrileImpurity,114772-54-2,4'-(Bromomethyl)biphenyl-2-carbonitrile
IRB403,IrbesartanDibromomethylImpurity,209911-63-7,4'-(Dibromomethyl)biphenyl-2-carbonitrile
IRB404,IrbesartanHydroxyImpurity,160514-13-6,CandesartanHydroxyImpurity;p-(o-1H-Tetrazol-5-ylphenyl)benzylalcohol
IRB405,IrbesartanImpurity1,154709-19-0,2-[4-(Hydroxymethyl)phenyl]benzonitrile;4-(Hydroxymethyl)-2'-cyanobiphenyl Isosorbide
ISR100,isosorbide,652-67-5,"1,4:3,6-Dianhydro-D-glucitol"
ISR201,IsosorbideMononitrateEPImpurityA,87-33-2,IsosorbideDinitrate
ISR202,IsosorbideMononitrateEPImpurityB,16051-77-7,"1,4:3,6-Dianhydro-D-glucitol5-Nitrate,Isosorbide5-Mononitrate Itraconazole"
ITR100,Itraconazole,84625-61-6,"(±)-1-[(RS)-sec-butyl]-4-[p-[4-[p-[[(2R,4S)-rel-2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3- dioxolan-4-yl]methoxy]phenyl]-1-piperazinyl]phenyl]-Δ2-1,2,4-triazolin-5-one Ivabradine"
IVB100,IvabradineHydrochloride,148849-67-6,"(S)-3-(3-(((4,5-dimethoxy-1,2dihydrocyclobutabenzen1yl)methyl)(methyl)amino)propyl)-7,8-dimethoxy-4,5- dihydro-1Hbenzo[d]azepin-2(3H)-onehydrochloride"
IVB401,IvabradineImpurity2,73942-87-7,"7,8-dimethoxy-1,3-dihydro-2H-benzo[d]azepin-2-one Page36"
IVB402,IvabradinechloroImpurity,85175-59-3,"3-(3-chloropropy)-7,8-dimethoxy-1,3-dihydro-2H-benzo[d]azepin-2-one"
IVB403,IvabradineIodoImpurity,148870-57-9,"3-(3-iodopropyl)-7,8-dimethoxy-1,3-dihydro-2H-benzo[d]azepin-2-one"
IVB404,IvabradineImpurity1,85175-65-1,"3-(3-chloropropyl)-7,8-dimethoxy-1,3,4,5-tetrahydro-2H-benzo[d]azepin-2-one"
IVB405,IvabradineImpurity3,109-70-6,1-bromo-3-chloropropane
IVB406,IvabradineImpurity 14,NA,"3,3'-(propane-1,3-diyl)bis(7,8-dimethoxy-1,3,4,5-tetrahydro-2H-benzo[d]azepin-2-one)"
IVB407,rac-Ivabradine,1796933-38-4,"3-(3-(((3,4-dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl)methyl)(methyl)amino)propyl)-7,8-dimethoxy-1,3,4,5- tetrahydro-2H-benzo[d]azepin-2-onehydrochloride"
IVB408,IvabradineImpurity4,866783-13-3,"(S)-1-(3,4-Dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl)-N-methylmethanaminehydrochloride"
IVB409,2-Oxo-Ivabradine,1616710-50-9,"(S)-3-(3-(((3,4-Dimethoxybicyclo[4.2.0]octa-1,3,5-trien-7-yl)methyl)(methyl)amino)propyl)-7,8-dimethoxy-4,5- dihydro-1H-benzo[d]azepine-1,2(3H)-dion Ketamine"
KTM100,KetamineHydrochloride,1867-66-9,(2RS)-2-(2-Chlorophenyl)-2-(methylamino)cyclohexanonehydrochloride.
KTM201,KetamineimpurityA,6740-87-0,1-[(2-Chlorophenyl)-(methylimino)methyl]cyclopentanol
KTM202,ketamineEPImpurityB,1823362-29-3,(2RS)-2-(2-chlorophenyl)-2-hydroxycyclohexanone
KTM203,ketamineEPImpurityC,90717-17-2,(2-chlorophenyl)(1-hydroxycyclopentyl)methanone
KTM401,Ketamineimpurity1,6740-86-9,(1-Bromocyclopentyl)(2-chlorophenyl)methanone Ketoprofen
KTP100,Ketoprofen,22071-15-4,2-(3-benzoylphenyl)propanoicacid
KTP201,ketoprofenEPimpurityA,66067-44-5,KetoprofenRelatedCompoundD;1- (3-benzoylphenyl)ethan-1-one Page37
KTP203,ketoprofenEPimpurityC,68432-95-1,"3-(1-carboxyethyl)benzoicacid, KetoprofenRelatedCompoundC"
KTP204,ketoprofenEPimpurityD,107257-20-5,"2-(3-(4-methylbenzoyl)phenyl)propanoicacid, KetoprofenRelatedCompoundA"
KTP205,ketoprofenEPimpurityE,59512-16-2,2-(3-benzoylphenyl)propanamide
KTP206,ketoprofenEPimpurityF,42872-30-0,2-(3-benzoylphenyl)propanenitrile
