id,name,cas_no,synonyms_iupac
AZL413,AzilsartanImpurityM/AzilsartanImpurity13,632322-61-3,"1-((2'-cyano-[1,1'-biphenyl]-4-yl)methyl) -2-ethoxy-1H-benzo[d]imidazole-7-carboxylicacid"
AZL414,AzilsartanEthylImpurity/AzilsartanImpurity14,1403474-70-3,"ethyl2-ethoxy-1-((2'-(5-oxo-4,5-dihydro-1,2,4-oxadiazol-3-yl)-[1,1'-biphenyl]-4-yl)methyl)-1H- benzo[d]imidazole-7-carboxylate"
AZL415,AzilsartanEthylRing-openingImpurity/AzilsartanImpurity15,1403474-75-8,"ethyl(Z)-2-ethoxy-1-((2'-(N'-((ethoxycarbonyl)oxy)carbamimidoyl) -[1,1'-biphenyl]-4-yl)methyl)-1H-benzo[d]imidazole-7-carboxylate"
AZL416,AzilsartanImpurity16,139481-44-0,"methyl1-((2'-cyano-[1,1'-biphenyl]-4-yl)methyl) -2-ethoxy-1H-benzo[d]imidazole-7-carboxylate"
AZL417,AzilsartanImpurity17,147403-52-9,"Azilsartan Methyl Ester ; methyl 2-ethoxy-1-((2'-(5-oxo-4,5-dihydro-1,2,4-oxadiazol-3-yl)-[1,1'-biphenyl]-4- yl)methyl)-1H-benzo[d]imidazole-7-carboxylate Page9"
AZT100,Azithromycin,117772-70-0,AzithromycinDihydrate
AZT201,"AzithromycinEPImpurityA,AZAERYTHROMYCINA",76801-85-9,9-Deoxo-9a-aza-9a-homoerythromycinA;6-Demethylazithromycin
AZT206,AzithromycinEPImpurityF,612069-28-0,"Azithromycin USPRelated Compound F,3′-N-Demethyl-3′-N-formylazithromycin"
AZT209,AzithromycinEPImpurityI,172617-84-4,N'-Desmethyl Azithromycin;N-Demethylazithromycin
AZT210,AzithromycinEPImpurityJ,117693-41-1,"Desosaminylazithromycin(USP);DescladinoseAzithromycin AzithromycinEPImpurityL AZT212 AzithromycinN-Oxide Beclometason BeclometasoneDipropionate BCL100 [2-[(8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-10,13,16-trimethyl-3-oxo-17-propanoyloxy-"
BNZ100,"6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl]-2-oxoethyl]propanoate",255-18-5,"2H-1,2,4-Benzothiadiazine"
